LANGUAGE, French, 
STRM_briefing_name,Atrium,
STRM_mission_description,atrium-life.com,
STRS_hints_vehicle_information,INFORMATION DU VEHICULE:\n\nNom: %4\nType: %1\ndirection: %2°\nHauteur ASL: %3m\nConducteur: %5\nEspace libre: %6\nlongeur: %7m,
STRS_functions_crimelog_msg12,Excès de vitesse,
STRS_anfang_laden,Chargement en cours... \nVeuillez patienter.
STRS_anfang_02,"Bienvenue sur le serveur Atrium"
STRS_anfang_03,ARMA 2 OA LIFE BY Atrium
STRS_anfang_04,Interdit de rentrer dans quelqu'un en véhicule
STRS_anfang_05_civ,Notre site web: atrium-life.com
STRS_anfang_05_cop,Voir les réglements compltet sur le site : atrium-life.com
STRS_anfang_cop_loadout,
STRS_anfang_06, "guide de jeu, règles, et changelog sur la carte onglets \ n \ nVeuillez respecter les règles du jeu et l'esprit du jeu \ n \ n Prenez du plaisir!"
STRS_check_civ_in_terrorbase, vous êtes entré dans le camp Terroriste.
STRS_southChernarus_area, Vous n'avez pas de compétence dans ce domaine. Faites demi-tour!
STRS_prohibited_area, Faites demi-tour !
STRS_verbotene_zone_teleport, Vous êtes entré dans une zone interdite et vous avez été téléporté vers votre zone de respawn.,
STRS_hunger_verhungern, vous êtes affamé.,
STRS_arbeiter_in_copbase, un de vos travailleurs est trop près du commissariat,
STRS_arbeiter_in_terrorbase, un de vos travailleurs était trop proche de la base de Terroriste,
STRS_dead_player_is_dead_civ,Vous êtes mort,
STRS_dead_player_is_dead_cop,Vous êtes mort,
STRS_slave_zuviele, vous ne pouvez pas acheter plus d'esclaves!,
STRS_slave_nomoney, vous ne pouvez pas vous permettre un esclave ... Peut-être que vous devriez être un esclave!.,
STRS_slave_gekauft, "" "% 1", "vous avez acheté un esclave pour $%2. Emmenez-le à un lieu de travail et il vous fera gagner de l'argent." ""
STRS_slave_moneyaction, prenez le profit que cet esclave a fait pour vous.,
STRS_slave_tot, un de vos esclaves est mort! Protégez-les à l'avenir!,
STRS_slave_geldabnahme_ja, Cet esclave vous a fait gagner $%1.,
STRS_slave_geldabnahme_nein, Cet esclave n'a pas d'argent! Inutile!.,
STRS_huren_zuviele, vous ne pouvez pas acheter plus de vierge effarouchée!,
STRS_huren_nomoney, vous ne pouvez pas vous permettre une vierge effarouchée ... Peut-être que vous devriez être une vierge effarouchée?,
STRS_huren_moneyaction, prenez l'argent de votre vierge effarouchée,
STRS_huren_tot, une de vos vierge effarouchée est morte! Grosse V!,
STRS_huren_geldabnahme_ja, Cette vierge effarouchée vous a fait gagner $%1.,
STRS_huren_geldabnahme_nein, cette vierge effarouchée n'a pas d'argent! Ne vous laisser pas dominé.,
STRS_arbeiter_gekauft, "%1, un nouveau travailleur a rejoint votre équipe. Vous avez payé $%2. Amenez un lieu de travail afin de lui faire gagner de l'argent.",
STRS_arbeiter_moneyaction, prendre l'argent de votre travailleur.,
STRS_arbeiter_tot, Un travailleur est mort dans votre équipe.,
STRS_arbeiter_geldabnahme_ja, vous avez obtenu $%1 de l'ouvrier.,
STRS_arbeiter_geldabnahme_nein, le travailleur ne dispose pas d'argent! Viré le...,
STRS_arbeiter_meister, ce travailleur travaille pour %1.,
STRS_arbeiter_copaction, pour qui travaillez-vous?,
STRS_arbeiter_zuviele, vous ne pouvez pas acheter un autre travailleur parce que vous avez déjà atteint la limite.,
STRS_arbeiter_nomoney, vous ne pouvez pas payer un travailleur. Revenez plus tard.,
STRS_inventar_beschreibung_bankversicherung, lAssurances Bancaire vous empêche de perdre de largent quand quelqun braque la banque. Chaque fois que la banque se fait braquer une Assurance Bancaire sera utilisée. Posséder 2 Banque Assurances signifie que vous ne perdez pas d'argent les 2 prochaine fois que la Banque est volée.,
STRS_dead_menuentry_hints, Stats,
STRS_dead_menuentry_inventar, inventaire,
STRS_dead_menuentry_animation, Animations,
STRS_addAction_copstorage1, stockage privé,
STRS_addAction_copstorage2, stockage public,
STRS_addaction_freecam, Caméras satellite,
STRS_addaction_defuse, désamorcer la bombe,
STRS_addaction_bank_license, Acheter une assurance bancaire pour $%1,
STRS_addaction_civcammenu, Ouvrir la Civcam,
STRS_addAction_copmenu, Ouvrir le menu de la police,
STRS_addAction_copmenulite, A pied ouvrir le menu de la Police,
STRS_addaction_jailcam, Caméras de sécurité de la prison,
STRS_addaction_buy_drugs, Ouvrir la boutique de drogue,
STRS_addaction_sell_drugs, vendre de la drogue,
STRS_addaction_weather, Prévisions,
STRS_addaction_shootingrange, Champs de tir $%1,
STRS_addaction_prisonrelease, Liste des recherchés / Menu de la prison,
STRS_addaction_bail, Cautions,
STRS_addaction_buy_worker, Acheter un travailleur pour $%1,
STRS_addaction_buy_slave, Achat d'un esclave pour $%1,
STRS_addaction_buy_hideout, Menu achat Hideout,
STRS_addaction_race_join, Rejoignez une course de rue pour $%1,
STRS_addaction_buy_shop, Acheter ceux %1 pour $%2,
STRS_addaction_buy_rank, Soudoyez le chef-adjoint de la police pour obtenir une réduction de %1 pour $%2,
STRS_addaction_switch_copmarker, Switch marqueur de police Marche / Arrêt,
STRS_addaction_radio_on, Switch Radio Marche / Arrêt,
STRS_addaction_vehicleinfo, Information du véhicule,
STRS_addaction_courierjob, obtenir un travail de messagerie!,
STRS_addaction_hideout_addon1, Hideout: Ajouter Medic sur $%1,
STRS_addaction_hideout_addon2, Hideout: Ajouter Teleport sur $%1,
STRS_addaction_hideout_addon3, Hideout: Ajouter En ligne sur $%1,
STRS_addaction_hideout_addon4, réparation Hideout $%1,
STRS_addaction_hideout_addon5, Verrouillage Hideout,
STRS_addaction_hideout_healaddon_use, Soigner,
STRS_addaction_hideout_bankaddon_use, En ligne encaissant,
STRS_addaction_hideout_ablage, Hideout stockage,
STRS_addAction_bank_balance, solde du compte,
STRS_addAction_bank_dialog, Menu de la Banque,
STRS_addaction_civmenu, Interaction %1 (%2),
STRS_addaction_restrainciv, Retenir %1 (%2),
STRS_action_hideoutowner, Afficher Hideout propriétaire,
STRS_addaction_gildenmenu, Menu du gang,
STRD_description_gildegruenden_hinweis, " ""Note: Le nom ne doit pas contenir des guillemets, les frais de création sont de 10.000 $ Si vous quittez et rejoignez le jeu, vous devrez rejoindre le gang. Les Gangs ne peuvent pas avoir plus de 8 membres!...""",
STRD_description_gildeverwalten_sperren_submit, " ""Mettre à jour""",
STRD_description_gildeverwalten_sperren_header, " ""Ouvrir le gang?""",
STRS_addaction_removesperre, Retirez le Barrage / Spikestrip,
STRS_addaction_sirene, Sirène Marche / Arrêt,
STRS_addaction_lightbar, Gyrophare Marche / Arrêt,
STRS_addaction_lock, verrouillage / déverrouillage,
STRS_addaction_crimelog, Journal de criminalité,
STRS_addaction_trunk, Coffre du véhicule
STRS_addaction_trunk_see, Voir le contenu du coffre,
STRS_addaction_trunk_check, fouiller le coffre du véhicule,
STRS_camciv_nomoney, la Civ cam a été supprimée...,
STRS_civcam_notwanted, Vous regardez %1. Il n'est pas  recherché.,
STRS_civcam_wanted, Vous regardez %1. Il est recherché.,
